event_date,order_datetime,store_name,products_list,total_eur,status,order_type,deposit_eur
2024-06-16,16/06/2024 12:55,Main Bar Jack Daniel's,"Cocktail, Cocktail",20,confirmed,experience,0
2024-06-16,16/06/2024 12:55,Main Bar Jack Daniel's,Birra,6,confirmed,experience,0
2024-06-16,16/06/2024 12:56,Main Bar Jack Daniel's,Birra,6,confirmed,experience,0
2024-06-16,16/06/2024 12:57,Main Bar Jack Daniel's,"Bicchiere, Bicchiere",2,confirmed,experience,0
2024-06-16,16/06/2024 13:06,Main Bar Jack Daniel's,"Bicchiere, Bicchiere",2,confirmed,experience,0
2024-06-16,16/06/2024 13:07,Punto Food,"BUN manzo, Poke pollo",20,confirmed,experience,0
2024-06-16,16/06/2024 13:07,Bar Barcelo,"Bicchiere, Bicchiere, Bicchiere, Bicchiere, Birra, Birra, Birra, Birra",28,confirmed,experience,0
2024-06-16,16/06/2024 13:07,Main Bar Jack Daniel's,Acqua,2,confirmed,experience,0
2024-06-16,16/06/2024 13:09,Main Bar Jack Daniel's,"Bicchiere, Soft Drink",6,confirmed,experience,0
2024-06-16,16/06/2024 13:10,Punto Food,"Patatine, Poke pollo, Poke pollo",26,confirmed,experience,0
2024-06-16,16/06/2024 13:10,Bar Barcelo,"Bicchiere, Birra",7,confirmed,experience,0
2024-06-16,16/06/2024 13:10,Punto Food,Patatine,6,confirmed,experience,0
2024-06-16,16/06/2024 13:12,Main Bar Jack Daniel's,"Acqua, Acqua",4,confirmed,experience,0
2024-06-16,16/06/2024 13:13,Main Bar Jack Daniel's,"Bicchiere, Bicchiere",2,confirmed,experience,0
2024-06-16,16/06/2024 13:16,Punto Food,"Poke pollo, Poke pollo",20,confirmed,experience,0
2024-06-16,16/06/2024 13:16,Bar Barcelo,Birra,6,confirmed,experience,0
2024-06-16,16/06/2024 13:19,Main Bar Jack Daniel's,"Soft Drink, Soft Drink",10,confirmed,experience,0
2024-06-16,16/06/2024 13:26,Main Bar Jack Daniel's,"Bicchiere, Gin Tonic",11,confirmed,experience,0
2024-06-16,16/06/2024 13:27,Main Bar Jack Daniel's,"Bicchiere, Cocktail",11,confirmed,experience,0
2024-06-16,16/06/2024 13:30,Punto Food,"Poke pollo, Poke pollo",20,confirmed,experience,0
2024-06-16,16/06/2024 13:31,Punto Food,"Poke pollo, Takoyaki",18,confirmed,experience,0
2024-06-16,16/06/2024 13:31,Main Bar Jack Daniel's,"Bicchiere, Cocktail, Cocktail, Soft Drink",26,confirmed,experience,0
2024-06-16,16/06/2024 13:31,Punto Food,Poke pollo,10,confirmed,experience,0
2024-06-16,16/06/2024 13:32,Bar Barcelo,"Bicchiere, Birra",7,confirmed,experience,0
2024-06-16,16/06/2024 13:33,Bar Barcelo,"Bicchiere, Birra",7,confirmed,experience,0
2024-06-16,16/06/2024 13:34,Main Bar Jack Daniel's,Acqua,2,confirmed,experience,0
2024-06-16,16/06/2024 13:34,Main Bar Jack Daniel's,Acqua,2,confirmed,experience,0
2024-06-16,16/06/2024 13:40,Punto Food,Patatine,6,confirmed,experience,0
2024-06-16,16/06/2024 13:42,Punto Food,Poke pollo,10,confirmed,experience,0
2024-06-16,16/06/2024 13:42,Main Bar Jack Daniel's,"Acqua, Acqua, Bicchiere, Bicchiere, Cocktail, Cocktail",26,confirmed,experience,0
2024-06-16,16/06/2024 13:43,Main Bar Jack Daniel's,Cocktail,10,confirmed,experience,0
2024-06-16,16/06/2024 13:48,Punto Food,Patatine,6,confirmed,experience,0
2024-06-16,16/06/2024 13:50,Punto Food,BUN pollo,10,confirmed,experience,0
2024-06-16,16/06/2024 13:51,Punto Food,Poke pollo,10,confirmed,experience,0
2024-06-16,16/06/2024 13:51,Main Bar Jack Daniel's,"Bicchiere, Bicchiere, Bicchiere, Bicchiere, Cocktail, Cocktail, Soft Drink",29,confirmed,experience,0
2024-06-16,16/06/2024 13:52,Main Bar Jack Daniel's,"Bicchiere, Bicchiere, Bicchiere, Cocktail, Cocktail, Soft Drink",28,confirmed,experience,0
2024-06-16,16/06/2024 13:53,Punto Food,BUN melanzana,10,confirmed,experience,0
2024-06-16,16/06/2024 13:55,Bar Barcelo,Birra,6,confirmed,experience,0
2024-06-16,16/06/2024 13:56,Bar Barcelo,"Bicchiere, Birra, Birra",13,confirmed,experience,0
2024-06-16,16/06/2024 13:59,Bar Barcelo,"Bicchiere, Birra",7,confirmed,experience,0
2024-06-16,16/06/2024 13:59,Main Bar Jack Daniel's,"Caffè, Caffè, Caffè",6,confirmed,experience,0
