event_date,operator_name,store_assignment,product_name_it,units_confirmed
2025-06-15,S2025-beerbar-1@slesh.it,Beer Bar,Raffo,25
2025-06-15,S2025-beerbar-1@slesh.it,Beer Bar,Acqua,18
2025-06-15,S2025-beerbar-1@slesh.it,Beer Bar,Bicchiere,126
2025-06-15,S2025-beerbar-1@slesh.it,Beer Bar,Nastro Azzurro,260
2025-06-15,S2025-beerbar-2@slesh.it,Beer Bar,Raffo,104
2025-06-15,S2025-beerbar-2@slesh.it,Beer Bar,Acqua,17
2025-06-15,S2025-beerbar-2@slesh.it,Beer Bar,Bicchiere,136
2025-06-15,S2025-beerbar-2@slesh.it,Beer Bar,Nastro Azzurro,299
2025-06-15,S2025-beerbar-3@slesh.it,Beer Bar,Raffo,14
2025-06-15,S2025-beerbar-3@slesh.it,Beer Bar,Acqua,7
2025-06-15,S2025-beerbar-3@slesh.it,Beer Bar,Bicchiere,40
2025-06-15,S2025-beerbar-3@slesh.it,Beer Bar,Nastro Azzurro,86
2025-06-15,S2025-beerbar-4@slesh.it,Beer Bar,Raffo,148
2025-06-15,S2025-beerbar-4@slesh.it,Beer Bar,Acqua,11
2025-06-15,S2025-beerbar-4@slesh.it,Beer Bar,Bicchiere,85
2025-06-15,S2025-beerbar-4@slesh.it,Beer Bar,Nastro Azzurro,29
2025-06-15,S2025-cassa-1@slesh.it,"Merch, Guardaroba, Gelateria",Guardaroba,1
2025-06-15,S2025-cassa-1@slesh.it,"Merch, Guardaroba, Gelateria",Gelato,10
2025-06-15,S2025-cassa-3@slesh.it,"Merch, Guardaroba, Gelateria",Gelato,5
2025-06-15,S2025-cassa-4@slesh.it,"Merch, Guardaroba, Gelateria",Gelato,11
2025-06-15,S2025_cocktailbar-10@slesh.it,Cocktail Bar ,Acqua,18
2025-06-15,S2025_cocktailbar-10@slesh.it,Cocktail Bar ,Bicchiere,74
2025-06-15,S2025_cocktailbar-10@slesh.it,Cocktail Bar ,Analcolico,2
2025-06-15,S2025_cocktailbar-10@slesh.it,Cocktail Bar ,Vino e bolle,5
2025-06-15,S2025_cocktailbar-10@slesh.it,Cocktail Bar ,Cocktail Premium,11
2025-06-15,S2025_cocktailbar-10@slesh.it,Cocktail Bar ,Soft Drink,8
2025-06-15,S2025_cocktailbar-10@slesh.it,Cocktail Bar ,Bottiglia Vino,11
2025-06-15,S2025_cocktailbar-10@slesh.it,Cocktail Bar ,Sprtiz,48
2025-06-15,S2025_cocktailbar-10@slesh.it,Cocktail Bar ,Cocktail,146
2025-06-15,S2025_cocktailbar-11@slesh.it,Cocktail Bar ,Acqua,17
2025-06-15,S2025_cocktailbar-11@slesh.it,Cocktail Bar ,Bicchiere,118
2025-06-15,S2025_cocktailbar-11@slesh.it,Cocktail Bar ,Analcolico,2
2025-06-15,S2025_cocktailbar-11@slesh.it,Cocktail Bar ,Vino e bolle,18
2025-06-15,S2025_cocktailbar-11@slesh.it,Cocktail Bar ,Cocktail Premium,7
2025-06-15,S2025_cocktailbar-11@slesh.it,Cocktail Bar ,Soft Drink,3
2025-06-15,S2025_cocktailbar-11@slesh.it,Cocktail Bar ,Bottiglia Vino,11
2025-06-15,S2025_cocktailbar-11@slesh.it,Cocktail Bar ,Sprtiz,25
2025-06-15,S2025_cocktailbar-11@slesh.it,Cocktail Bar ,Cocktail,280
2025-06-15,S2025_cocktailbar-11@slesh.it,Cocktail Bar ,Cocktail Super premium,1
2025-06-15,S2025_cocktailbar-1@slesh.it,Cocktail Bar ,Acqua,2
